drug_id,drug_name,drug_synonyms_value,drug_synonyms_type,therapy_areas,drug_primary_action_value,drug_primary_action_id,drug_secondary_action_value,drug_secondary_action_id,drug_primary_indication_value,drug_primary_indication_id,drug_secondary_indication_value,drug_secondary_indication_id,drug_primary_company_value,drug_primary_company_id,drug_secondary_company_value,drug_secondary_company_id,drug_company_originator_value,drug_company_originator_id,drug_brand_names,drug_generic_names,molecular_mechanism_value,molecular_mechanism_id,cellular_mechanism_value,cellular_mechanism_id
81805,radgocitabine,DFP-10917|NS-917|radgocitabine,Research Code|Research Code|PINN,Cancer,,,G2-M checkpoint pathway modulator|Anticancer|Apoptosis stimulator,52471|1545|1589,Acute lymphoblastic leukemia|Acute myelogenous leukemia,1728|1731,,,Nippon Shinyaku Co Ltd|Delta-Fly Pharma Inc,18552|1062114,,,Delta-Fly Pharma Inc,1062114,,,,,,
81901,abivertinib,"aiweitini|EGFR inhibitors (oral, cancer), ACEA Biosciences|avitinib|AC-0010|ACEA-0010|AC-010|abivertinib|abivertinib maleate|AC-0010-MA|STI-5656",Research Code|Research Code|Research Code|USAN|INN|USAN|Research Code|Research Code,Cancer|Infection|Respiratory,EGFR gene inhibitor|Btk tyrosine kinase inhibitor,17952|3592,Anticancer protein kinase inhibitor|Antiviral|Anticancer,62255|991|1545,Coronavirus disease 19 infection|Chronic lymphocytic leukemia|Mantle cell lymphoma|Diffuse large B-cell lymphoma|Viral pneumonia|Lymphoma|Non-Hodgkin lymphoma|Metastatic non small cell lung cancer|Respiratory distress syndrome,10406|1734|1744|1749|1818|203|319|3665|8,Cancer,651,Sorrento Therapeutics Inc|ACEA Biosciences Inc,1048574|1006647,,,ACEA Biosciences Inc,1006647,,,,,,
81927,KRT-232,"AMG-232|Mouse double minute 2 homolog inhibitor (solid tumor/melanoma), Amgen/GlaxoSmithkline|MDM2 inhibitor (solid tumor/melanoma), Amgen/GlaxoSmithkline|KRT-232|MDM2 inhibitor (myelofibrosis/polycythemia vera/merkel cell lymphoma/acute myeloid leukemia), Kartos Therapeutics",Research Code|Research Code,Cancer|Hematologic,Mdm2 p53-binding protein inhibitor|E3 ubiquitin protein ligase MDM2 inhibitor,10391|51304,Synergist|Cell cycle inhibitor|Anticancer|Apoptosis stimulator,7293|767|1545|1589,Acute myelogenous leukemia|Chronic lymphocytic leukemia|Chronic myelocytic leukemia|Diffuse large B-cell lymphoma|Thrombocythemia|Polycythemia vera|Myelofibrosis|Myeloproliferative disorder|Non-Hodgkin lymphoma|Merkel cell carcinoma,1731|1734|1735|1749|2317|2319|2436|273|319|3235,Multiple myeloma|Stage IV melanoma|Advanced solid tumor,1828|3257|3713,Kartos Therapeutics Inc,1171249,Amgen Inc,14109,Amgen Inc,14109,,,,,,
81932,OPB-111077,"OPB-111077|STAT inhibitors (cancer), Otsuka Pharmaceutical|STAT-3 inhibitor (cancer), Otsuka Pharmaceutical",Research Code,Cancer,STAT-3 inhibitor,7967,Anticancer|Electron transport inhibitor,1545|518,Acute myelogenous leukemia|Diffuse large B-cell lymphoma|Nasopharyngeal carcinoma|Advanced solid tumor|Cancer,1731|1749|1768|3713|651,Hepatocellular carcinoma,1767,Otsuka Pharmaceutical Co Ltd,18717,,,Otsuka Pharmaceutical Co Ltd,18717,,,,,,
81949,BION-1301,"anti-APRIL monoclonal antibodies (cancer), BioNovion|human APRIL.01A|human APRIL.03A|hA.01A|hA.03A|BION-1301|anti-APRIL monoclonal antibodies (cancer), Aduro BioTech Europe|anti-APRIL monoclonal antibodies (IgA nephropathy/ cancer), Aduro BioTech Europe",Research Code,Cancer|Genitourinary/Sexual Function,Tumor necrosis factor ligand 13 inhibitor|APRIL receptor antagonist,48495|8257,Anticancer monoclonal antibody|Anti-inflammatory,55685|2953,Multiple myeloma|IgA nephropathy,1828|3076,Cancer,651,Chinook Therapeutics Canada Inc,1188489,Aduro Biotech Holdings Europe Bv,1075382,Aduro Biotech Holdings Europe Bv,1075382,,,,,,
81951,BION-1402,"anti-CD27 monoclonal antibody agonist (cancer), BioNovion|hCD27.15|BION-1402|anti-CD27 monoclonal antibody agonist (cancer), Aduro|CD27 costimulator (cancer), Aduro/Merck & Co",Research Code|Research Code,Cancer,CD27 agonist,5102,Natural killer cell stimulator|T-lymphocyte stimulator|Immunostimulant|Anticancer monoclonal antibody,7757|7761|393|55685,,,Solid tumor,725,,,Chinook Therapeutics Inc|Aduro Biotech Holdings Europe Bv|Merck & Co Inc,1039923|1075382|18077,Aduro Biotech Holdings Europe Bv,1075382,,,,,,
82113,Hx-DR5-01/05,"IDD-004|Hx-DR5-01|Hx-DR5-05|HexaBody-DR5|DR5-targeting mAb (HexaBody, cancer), Genmab|Hx-DR5-01/05|MR-009E|GEN-1029|HexaBody-DR5/DR5|benufutamab",Research Code|Research Code|Research Code|Research Code|Research Code|Research Code|INN,Cancer,TRAIL-2 receptor agonist,8232,Anticancer monoclonal antibody,55685,Glioma|Non-small-cell lung cancer|Stomach tumor|Renal cell carcinoma|Transitional cell carcinoma|Pancreas tumor|Breast tumor|Cancer|Colorectal tumor,1108|1262|127|1766|1771|249|49|651|989,,,Genmab A/S,26469,iDD biotech,1066452,iDD biotech,1066452,,,,,,
82222,"leukemia-associated RNA transfected autologous dendritic cell vaccine, (acute myeloid leukemia), Ludwig-Maximilians/Medigene","leukemia-associated RNA transfected autologous dendritic cell vaccine, (acute myeloid leukemia), Ludwig-Maximilians|leukemia-associated RNA transfected autologous dendritic cell vaccine, (acute myeloid leukemia), Ludwig-Maximilians/Medigene|leukemia-associated RNA transfected autologous dendritic cell vaccine, (acute myeloid leukemia), Ludwig-Maximilians/Trianta|leukemia-associated RNA transfected autologous dendritic cell vaccine, (acute myeloid leukemia), Helmholtz Zentrum Munchen/Max Delbruck Center|WT1/PRAME vaccination",,Cancer,WT1 gene stimulator|PRAME gene stimulator,30013|71055,Therapeutic vaccine|Dendritic cell vaccine|Genetically engineered autologous cell vaccine|Anticancer,12379|102926|4791|1545,Acute myelogenous leukemia,1731,,,MediGene AG|Ludwig-Maximilians University of Munich|Medigene Immunotherapies GmbH,24224|22137|1092495,Helmholtz Zentrum München|Max Delbruck Centrum Fur Molekulare Medizin,16588|17961,Ludwig-Maximilians University of Munich,22137,,,,,,
82234,"ONC-201, Oncoceutics/ Ohara Pharmaceutical","ONC-200 series (cancer), Oncoceutics|TIC-10|imidazolinopyrimidinones (cancer), Oncoceutics|ONC-201, Oncoceutics|NSC-350625|ONC-201, Oncoceutics/ Ohara Pharmaceutical|OP-10|ONC-201 dihydrochloride",Research Code|Research Code|Research Code|Research Code|Research Code,Cancer,Dopamine D2 receptor antagonist|ATP-dependent Clp protease stimulator,150|26613,Apoptosis stimulator|Anticancer|Synergist,1589|1545|7293,Glioma|Neuroendocrine tumor|Stomach tumor|Myelodysplastic syndrome|Endometrioid carcinoma|Acute lymphoblastic leukemia|Acute myelogenous leukemia|Mantle cell lymphoma|Diffuse large B-cell lymphoma|Multiple myeloma|Liver tumor|Rhabdomyosarcoma|Glioblastoma|Ependymoma|Medulloblastoma|Neuroblastoma|Ewing sarcoma|Non-Hodgkin lymphoma|Metastatic breast cancer|Solid tumor,1108|1128|127|1272|1705|1728|1731|1744|1749|1828|202|2448|2454|2455|2533|2726|2975|319|3657|725,Advanced solid tumor|Breast tumor|Cancer,3713|49|651,China Resources Sanjiu Medical and Pharmaceutical Co Ltd|Oncoceutics Inc|Ohara Pharmaceutical Co Ltd,1091659|1048147|1000882,,,Oncoceutics Inc,1048147,,,,,,
82321,GSK-3174998,"OX40 agonist antibodies (cancer), GlaxoSmithKline/MD Anderson|GSK-3174998|OX40 costimulator (cancer), GlaxoSmithKline/MD Anderson|OX40 agonist antibodies (iv, cancer/d solid tumors), GlaxoSmithKline|GSK'998",Research Code|Research Code,Cancer,OX-40 receptor agonist,5443,T-lymphocyte stimulator|Anticancer monoclonal antibody|Immunostimulant,7761|55685|393,,,Hematological neoplasm|Advanced solid tumor|Cancer|Solid tumor,2054|3713|651|725,,,MD Anderson Cancer Center|GlaxoSmithKline plc,23382|28355,MD Anderson Cancer Center,23382,,,,,,
82338,"T-rapamycin cell donor lymphocyte infusions (Lymphoma), National Cancer Institute","T-rapamycin cell donor lymphocyte infusions (Lymphoma), National Cancer Institute",,Cancer,,,Anticancer,1545,,,Lymphoma,203,,,National Cancer Institute (NCI),20519,National Cancer Institute (NCI),20519,,,,,,
82426,magrolimab,"CD47 checkpoint inhibitor (cancer), Stanford University/Forty Seven/Oxford University|Hu5F9-G4|humanized anti-CD47 antibody (cancer), Stanford University/Forty Seven/Oxford University|magrolimab|humanized anti-CD47 antibody (cancer), Stanford University/Forty Seven/Oxford University/Ono|ONO-7913|GS-4721",USAN|INN|Research Code|Research Code,Cancer,CD47 antagonist,5185,Macrophage stimulator|Immunostimulant|Anticancer monoclonal antibody|Synergist,7751|393|55685|7293,Myelodysplastic syndrome|Acute myelogenous leukemia|Diffuse large B-cell lymphoma|Multiple myeloma|Non-Hodgkin lymphoma|Metastatic bladder cancer|Metastatic breast cancer|Advanced solid tumor|Cancer|Solid tumor|Ovary tumor|Colorectal tumor,1272|1731|1749|1828|319|3466|3657|3713|651|725|799|989,Bladder cancer,2380,Gilead Sciences Inc|Forty Seven Inc|Ono Pharmaceutical Co Ltd,16450|1120033|18681,Stanford University,20679,Stanford University,20679,,,,,,
82536,BI-1206,"BI-1206|6G11|FcgRIIb checkpoint inhibitor (leukemia/lymphoma), BioInvent|CD32b checkpoint inhibitor (cancer), BioInvent",Research Code,Cancer,Immunoglobulin gamma Fc receptor IIB antagonist,27991,Natural killer cell stimulator|Macrophage stimulator|Immunostimulant|Anticancer monoclonal antibody,7757|7751|393|55685,Mantle cell lymphoma|Follicle center lymphoma|Marginal zone B-cell lymphoma|B-cell lymphoma|Non-Hodgkin lymphoma|Stage IV melanoma|Metastatic non small cell lung cancer|Advanced solid tumor|Cancer,1744|1745|1746|316|319|3257|3665|3713|651,Chronic lymphocytic leukemia,1734,CASI Pharmaceuticals Inc|BioInvent International AB,21794|18592,Cancer Research Technology Ltd,30620,BioInvent International AB,18592,,,,,,
8255,nelfinavir,AG-1343|nelfinavir mesylate|AG-1346|LY-312857|nelfinavir|Viracept,Research Code|USAN|Research Code|Research Code|INN|Trade Name,Infection,HIV protease inhibitor|HIV-1 protease inhibitor,204|768,Antiviral,991,HIV infection,158,,,Japan Tobacco Inc|Mitsubishi Pharma Corp|Dong-A ST Co Ltd|ViiV Healthcare Ltd,17327|20983|15742|1050515,Chugai Pharmaceutical Co Ltd|Pfizer Inc|Roche Holding AG|Nippon Roche KK|F Hoffmann-La Roche AG|Agouron Pharmaceuticals Inc,15414|18767|19446|19447|26178|26488,Pfizer Inc,18767,,,,,,
82701,MCLA-117,"MCLA-117|bispecific human antibodies targeting CD3 and CLEC12A (Biclonics, AML), Merus|Fc-silenced anti-CD3/anti-CLEC12A bispecific T-cell engager (Bioclonics ENGAGE, acute myeloid leukemia/myelodysplastic syndrome), Merus",Research Code,Cancer,CD3 modulator|C-type lectin domain protein 12A modulator,5023|82256,Anticancer monoclonal antibody|Immunostimulant|T-lymphocyte stimulator,55685|393|7761,Myelodysplastic syndrome|Acute myelogenous leukemia,1272|1731,,,Merus BV,1008818,,,Merus BV,1008818,,,,,,
82937,DI-B4,DI-B4,Research Code,Cancer,B-lymphocyte antigen CD19 inhibitor,5082,Anticancer monoclonal antibody,55685,Chronic lymphocytic leukemia|B-cell lymphoma,1734|316,Cancer,651,Merck KGaA|Cancer Research UK,18101|29469,,,Merck KGaA,18101,,,,,,
83026,aspacytarabine,"Astarabine|cytarabine-asparagine conjugate (leukemia), BioSight|BST-236|Asp(cytarabine)|aspacytarabine",Trade Name|Research Code|PINN,Cancer,,,Anticancer,1545,Myelodysplastic syndrome|Acute lymphoblastic leukemia|Acute myelogenous leukemia|Chronic myelocytic leukemia|Non-Hodgkin lymphoma,1272|1728|1731|1735|319,,,BioSight Ltd,29548,,,BioSight Ltd,29548,,,,,,
83049,"bevacizumab biosimilar, AbbVie / Amgen/ Daiichi Sankyo","bevacizumab|bevacizumab biosimilar, Actavis/Amgen|bevacizumab biosimilar, Watson Pharmaceuticals/Amgen|ABP-215|bevacizumab biosimilar, Allergan/Amgen|bevacizumab beta|bevacizumab biosimilar, Allergan/ Amgen/ Daiichi Sankyo|bevacizumab-awwb|Mvasi|Kyomarc|bevacizumab biosimilar, AbbVie / Amgen/ Daiichi Sankyo",INN|Research Code|INN|Trade Name|Trade Name,Cancer,VEGF ligand inhibitor,12521,Angiogenesis inhibitor|Anticancer monoclonal antibody,61|55685,Fallopian tube cancer|Glioblastoma|Peritoneal tumor|Metastatic colorectal cancer|Metastatic non small cell lung cancer|Metastatic renal cell carcinoma|Uterine cervix tumor|Breast tumor|Cancer|Ovary tumor,2243|2454|3083|3658|3665|4250|427|49|651|799,,,AbbVie Inc|Amgen Inc|Daiichi Sankyo Co Ltd,1072507|14109|1017506,Allergan plc|Actavis Inc,1088700|21717,Amgen Inc,14109,,,,,,
83065,avelumab,"anti-PD-L1 mAb (solid tumors), Merck Serono|programmed cell death ligand 1 mAb (solid tumors), Merck Serono|anti-PD-L1 mAb (solid tumors), Merck Serono/ Pfizer|avelumab|MSB-0010718C|PF-06834635|MSB0010682|Bavencio|PD-L1 checkpoint inhibitor (cancer), Merck KGaA/Pfizer",USAN|INN|Research Code|Research Code|Research Code|Trade Name,Cancer|Neurology/Psychiatric,Programmed cell death ligand 1 inhibitor,14007,Anticancer monoclonal antibody|Immunostimulant|Anti-inflammatory|T-lymphocyte stimulator|Anticancer,55685|393|2953|7761|1545,Testis tumor|Neuroendocrine tumor|Mesothelioma|Small-cell lung cancer|Non-small-cell lung cancer|Hodgkins disease|Endometrioid carcinoma|Acute myelogenous leukemia|Follicle center lymphoma|Diffuse large B-cell lymphoma|Peripheral T-cell lymphoma|Nasopharyngeal carcinoma|Osteosarcoma|Penis tumor|Neoplastic meningitis|Lymphoma|Anal tumor|Bladder cancer|Angiosarcoma|Glioblastoma|Pancreas tumor|Thymus neoplasm|Squamous cell carcinoma|Gastrointestinal stromal tumor|Merkel cell carcinoma|Hormone refractory prostate cancer|Stage IV melanoma|Metastatic urinary tract cancer|Metastatic bladder cancer|Metastatic breast cancer|Metastatic colorectal cancer|Metastatic non small cell lung cancer|Metastatic rectal cancer|Advanced solid tumor|Metastatic ovary cancer|Small intestine cancer|Metastatic renal cell carcinoma|Genitourinary tract tumor|Colon tumor|Ovary tumor,1054|1128|1240|1261|1262|161|1705|1731|1745|1749|1753|1768|1772|1791|1814|203|2193|2380|2443|2454|249|2938|307|3205|3235|3246|3257|3465|3466|3657|3658|3665|3671|3713|3866|4166|4250|613|767|799,Adrenal cortical carcinoma|Mantle cell lymphoma|Hepatocellular carcinoma|Transitional cell carcinoma|Hematological neoplasm|Metastatic stomach cancer|Metastatic head and neck cancer|Head and neck tumor|Solid tumor,1648|1744|1767|1771|2054|3666|3673|623|725,Merck KGaA|Merck Serono SA|Pfizer Inc,18101|19862|18767,,,Merck KGaA,18101,,,,,,
83076,GNX-102,"GNX-102|anti-TACAs humanized antibody (advanced solid tumors), GlycoNex|anti-tumor-associated carbohydrate antigen mAb (advanced solid tumor), GlycoNex",Research Code,Cancer,,,Anticancer monoclonal antibody|Unspecified drug target,55685|59620,Esophagus tumor|Non-small-cell lung cancer|Stomach tumor|Hepatocellular carcinoma|Melanoma|Bladder cancer|Pancreas tumor|Prostate tumor|Uterine cervix tumor|Breast tumor|Lung tumor|Ovary tumor|Colorectal tumor,1011|1262|127|1767|205|2380|249|276|427|49|755|799|989,Advanced solid tumor,3713,GlycoNex Inc,1052861,,,GlycoNex Inc,1052861,,,,,,
83081,AVID-100,"antibody-drug conjugate (EGFR modulator), AvidBiologics|ADC (EGFR modulator), AvidBiologics|AVID-100|ADC (EGFR modulator), Formation Biologics|antibody-drug conjugate (EGFR modulator), Formation Biologics",Research Code,Cancer,Epidermal growth factor receptor antagonist,740,Immunotoxin|Anticancer antibody|Anticancer protein kinase inhibitor,539|55684|62255,Non-small-cell lung cancer|Metastatic breast cancer|Metastatic head and neck cancer|Advanced solid tumor|Breast tumor|Head and neck tumor,1262|3657|3673|3713|49|623,Cancer,651,Forbius,1078063,,,Forbius,1078063,,,,,,
8312,XR-5000,XR-5000|SN-22995|DACA|NSC-601316|NSC-672819,Research Code|Research Code|Research Code|Research Code,Cancer,Topoisomerase I inhibitor|Topoisomerase II inhibitor,141|142,DNA intercalator|Anticancer,750|1545,,,Non-small-cell lung cancer|Sarcoma|Melanoma|Glioblastoma|Breast tumor|Carcinoma|Solid tumor|Lung tumor|Brain tumor|Colon tumor|Ovary tumor,1262|194|205|2454|49|54|725|755|760|767|799,,,University of Auckland|European Organisation for Research and Treatment of Cancer (EORTC)|Cancer Research Campaign Technology Ltd|Xenova Ltd,20647|23119|24077|25708,University of Auckland,20647,,,,,,
83195,"tigecycline (iv infusion, acute myeloid leukemia), UHN","tigecycline|tigecycline (iv infusion, acute myeloid leukemia), UHN|tigecycline (iv infusion, acute myeloid leukemia), Stem Cell Therapeutics|tigecycline (iv infusion, acute myeloid leukemia), Trillium Therapeutics",USAN|PINN,Cancer,,,Anticancer|Tetracycline,1545|1539,,,Acute myelogenous leukemia,1731,,,Trillium Therapeutics Inc|The University Health Network,1010234|28443,The University Health Network,28443,,,,,,
8324,canfosfamide,TER-296|TER-324|TER-332|TER-338|canglustratide hydrochloride|TER-286|TLK-286|canfosfamide hydrochloride|canfosfamide|Telcyta,Research Code|Prodrug|Research Code|Prodrug|Research Code|Prodrug|Research Code|Prodrug|Research Code|Research Code|USAN|INN|Trade Name,Cancer,Glutathione S-transferase P modulator,14020,Anticancer alkylating agent|Cell cycle inhibitor|Apoptosis stimulator,50|767|1589,,,Non-small-cell lung cancer|Mantle cell lymphoma|Diffuse large B-cell lymphoma|Multiple myeloma|Non-Hodgkin lymphoma|Breast tumor|Carcinoma|Cancer|Lung tumor|Colon tumor|Ovary tumor,1262|1744|1749|1828|319|49|54|651|755|767|799,,,Taiho Pharmaceutical Co Ltd|MabVax Therapeutics Holdings Inc,18720|20339,MabVax Therapeutics Holdings Inc,20339,,,,,,
83355,FF-10501 hydrate,FF-10501|FF-10501-01|FF-10501 hydrate,Research Code|Research Code|Research Code,Cancer,Inosine monophosphate dehydrogenase inhibitor,629,Anticancer,1545,Myelodysplastic syndrome|Acute myelogenous leukemia|Chronic myelomonocytic leukemia,1272|1731|6833,,,FUJIFILM Holdings Corp,1037804,,,FUJIFILM Holdings Corp,1037804,,,,,,
83456,SCT-200,"recombinant humanized anti-human epidermal growth factor receptor monoclonal antibody, Sinocelltech|recombinant humanized anti-hEGFR mAb, Sinocelltech|SCT-200",Research Code,Cancer,Epidermal growth factor receptor antagonist,740,Anticancer protein kinase inhibitor|Anticancer monoclonal antibody|Anticancer,62255|55685|1545,Squamous cell carcinoma|Metastatic colorectal cancer|Metastatic non small cell lung cancer|Metastatic esophageal cancer|Metastatic head and neck cancer|Advanced solid tumor|Breast tumor,307|3658|3665|3667|3673|3713|49,Cancer,651,Sinocelltech Ltd,1079269,,,Sinocelltech Ltd,1079269,,,,,,
83514,DCVAC/LuCa,DCVAC/LuCa,,Cancer,,,Anticancer|Dendritic cell vaccine|Therapeutic vaccine,1545|102926|12379,Non-small-cell lung cancer|Metastatic non small cell lung cancer,1262|3665,Lung tumor,755,Sotio AS,1077346,,,Sotio AS,1077346,,,,,,
83537,"donafenib tosylate (oral tablet, cancer), Suzhou Zelgen Biopharmaceutical","donafenib tosylate (oral tablet, cancer), Suzhou Zelgen Biopharmaceutical|CM-4307|donafenib|donafenib tosylate|Zepsun|zepusheng",Research Code|Trade Name|Trade Name,Cancer,Tyrosine kinase receptor inhibitor|Raf protein kinase inhibitor,3520|4542,Anticancer protein kinase inhibitor|Angiogenesis inhibitor,62255|61,Esophagus tumor|Thyroid tumor|Gastrointestinal tumor|Endometrioid carcinoma|Acute myelogenous leukemia|Cholangiocarcinoma|Renal cell carcinoma|Hepatocellular carcinoma|Nasopharyngeal carcinoma|Squamous cell carcinoma|Metastatic gastrointestinal cancer|Metastatic colorectal cancer|Metastatic stomach cancer|Advanced solid tumor|Head and neck tumor,1011|1134|131|1705|1731|1765|1766|1767|1768|307|3460|3658|3666|3713|623,Cancer,651,Suzhou Zelgen Biopharmaceuticals Co Ltd,1065043,,,Suzhou Zelgen Biopharmaceuticals Co Ltd,1065043,,,,,,
83613,18F-Fluoro-PEG6-IPQA,18F-Fluoro-PEG6-IPQA|18F-PEG6-IPQA,,Cancer,,,Neoplasm diagnostic agent|PET contrast agent|Radiodiagnostic,7220|5555|5720,,,Solid tumor,725,,,MD Anderson Cancer Center,23382,MD Anderson Cancer Center,23382,,,,,,
83615,NIZ-985,"recombinant interleukin-15 (cancer), NCI|heterodimeric IL-15|IL-15/sIL-15Ra|hetIL-15|heterodimeric IL15:IL15Ra|recombinant interleukin-15 (cancer), NCI/Admune Therapeutics|recombinant interleukin-15 (cancer), NCI/Novartis|NIZ-985",Research Code,Cancer|Infection,Interleukin 15 ligand,51216,Antiviral|Anticancer,991|1545,Metastasis|HIV infection|Metastatic renal cancer|Solid tumor,1069|158|3467|725,,,Novartis AG|National Cancer Institute (NCI),23137|20519,Admune Therapeutics LLC,1095563,National Cancer Institute (NCI),20519,,,,,,
83774,andecaliximab,"GS-5745|andecaliximab|Matrix metalloproteinase-9 inhibitor (rheumatoid arthritis), Gilead Sciences Inc",Research Code|USAN|INN,Cancer|Gastrointestinal|Immune|Respiratory,Metalloprotease-9 inhibitor,2462,Anti-inflammatory|Anticancer monoclonal antibody,2953|55685,,,Chronic obstructive pulmonary disease|Stomach tumor|Rheumatoid arthritis|Ulcerative colitis|Metastatic stomach cancer|Solid tumor|Crohns disease|Cystic fibrosis,1185|127|291|337|3666|725|84|88,,,Gilead Sciences Inc,16450,Gilead Sciences Inc,16450,,,,,,
83781,GM.CD40L cell vaccine,"GM.CD40L cell vaccine|GM-CSF- and CD40L-expresing autologous tumor cell vaccine (intradermal, cancer), H Lee Moffitt Cancer Center/National Cancer Institute|dual CD40 costimulator/GM-CSF (autologous tumor cell vaccine, cancer), H Lee Moffitt Cancer Center/National Cancer Institute",,Cancer,GM-CSF receptor agonist|Chemokine CC21 ligand|CD40 ligand receptor agonist,410|51072|5141,Therapeutic vaccine|Anticancer|Genetically engineered autologous cell vaccine,12379|1545|4791,Mantle cell lymphoma|Melanoma|Lung tumor,1744|205|755,,,H Lee Moffitt Cancer Center and Research Institute|National Cancer Institute (NCI),29603|20519,,,H Lee Moffitt Cancer Center and Research Institute,29603,,,,,,
83846,"melanoma-associated antigen 12 peptide vaccine (cancer), NCI","melanoma-associated antigen 12 peptide vaccine (cancer), NCI|MAGE-12 peptide vaccine (cancer), NCI",,Cancer,,,Anticancer|Therapeutic vaccine,1545|12379,,,Cancer,651,,,National Cancer Institute (NCI),20519,National Cancer Institute (NCI),20519,,,,,,
83847,mik-beta-1,"mik-beta-1|anti-CD122 mAb(CLL), NCI",,Cancer,CD122 modulator,5424,Anticancer monoclonal antibody,55685,,,Chronic lymphocytic leukemia,1734,,,National Cancer Institute (NCI),20519,National Cancer Institute (NCI),20519,,,,,,
83873,osimertinib,"AZ-5104|AZ-7550|osimertinib|AZD-9291|osimertinib mesylate|Tagrisso|mereletinib|osimertinib (T790M-mutation-targeting, NSCLC), AstraZeneca",Research Code|Metabolite|Research Code|Metabolite|USAN|INN|Research Code|USAN|Trade Name,Cancer,Protein tyrosine kinase inhibitor|Epidermal growth factor receptor antagonist,385|740,Anticancer protein kinase inhibitor,62255,Non-small-cell lung cancer|Metastatic non small cell lung cancer,1262|3665,,,AstraZeneca plc,14190,,,AstraZeneca plc,14190,,,,,,
83902,tenalisib,"RP-6530|PI3K delta/gamma dual inhibitor (oral, cancer/inflammation), Rhizen|tenalisib|PI3K delta/gamma dual inhibitor (oral, cancer/inflammation), Rhizen/Icozen",Research Code|INN,Cancer|Inflammatory,Phosphoinositide-3 kinase delta inhibitor|Phosphoinositide-3 kinase gamma inhibitor|QSK serine threonine protein kinase inhibitor,11183|11186|4252,Anti-inflammatory|Anticancer protein kinase inhibitor|Apoptosis stimulator|Anticancer|Synergist,2953|62255|1589|1545|7293,Hodgkins disease|Chronic lymphocytic leukemia|Follicle center lymphoma|Peripheral T-cell lymphoma|Cutaneous T-cell lymphoma|Inflammatory disease|Hematological neoplasm|T-cell lymphoma|Non-Hodgkin lymphoma|Cancer,161|1734|1745|1753|1754|188|2054|311|319|651,,,Rhizen Pharmaceuticals SA|Incozen Therapeutics Pvt Ltd|Curon Biopharmaceutical Limited,1052344|1050981|1214848,,,Rhizen Pharmaceuticals SA,1052344,,,,,,
83962,"entospletinib + idelalisib (hematological malignancies), Gilead","GS-9973 + idelalisib (hematological malignancies), Gilead|entospletinib + idelalisib (hematological malignancies), Gilead|entospletinib + idelalisib|GS-9973 + idelalisib",,Cancer,Phosphoinositide-3 kinase delta inhibitor|Syk tyrosine kinase inhibitor,11183|3602,Anticancer protein kinase inhibitor,62255,,,Hematological neoplasm|Cancer,2054|651,,,Gilead Sciences Inc,16450,Gilead Sciences Inc,16450,,,,,,
84048,"MSC-1, Northern Biologics","MSC-1 (cancer), Mosaic Biomedicals|MSC-1, Northern Biologics|anti-LIF mAb (intravenous, cancer), Northern Biologics|anti-leukemia inhibitory factor mAb (intravenous, cancer), Northern Biologics|MSC-1, Northern Biologics/Celgene|anti-LIF mAb (intravenous, cancer), Northern Biologics/Bristol-Myers Squibb",Research Code,Cancer,Leukemia inhibitory factor receptor antagonist|Aminopeptidase N inhibitor,3710|5064,Therapeutic antibody|Anticancer monoclonal antibody|Immunostimulant|T-lymphocyte stimulator,172641|55685|393|7761,Non-small-cell lung cancer|Pancreas tumor|Advanced solid tumor|Ovary tumor,1262|249|3713|799,Cancer,651,Northern Biologics (formerly Northern LP)|Bristol-Myers Squibb Co,1217069|15065,Mosaic Biomedicals|Northern Biologics Inc|Celgene Corp,1080571|1103768|15331,Mosaic Biomedicals,1080571,,,,,,
84060,idecabtagene vicleucel,"bb-2121|anti B-cell maturation antigen-targeting chimeric antigen receptor T-cells (hematological malignancies), bluebird bio|BCMA-targeting CAR T-cells (hematological malignancies), bluebird bio|anti-BCMA CAR T-cell therapy (hematological malignancies), bluebird bio/Celgene|idecabtagene vicleucel|ide-cel|Abecma",Research Code|USAN|INN|Trade Name,Cancer,APRIL receptor modulator,8255,Genetically engineered autologous cell therapy|Immunostimulant|Anticancer|T-lymphocyte stimulator,4790|393|1545|7761,Multiple myeloma,1828,Hematological neoplasm|Cancer,2054|651,bluebird bio Inc|Bristol-Myers Squibb Co,16284|15065,Celgene Corp,15331,bluebird bio Inc,16284,,,,,,
84086,SLC-391,"AXL tyrosine kinase receptor inhibitors (cancer), SignalChem|SLC-366|SLC-391|SLC-0211|Axl checkpoint inhibitor (cancer), SignalChem Life Sciences|AXL tyrosine kinase receptor inhibitors (cancer, advanced solid tumors), SignalChem|AXL tyrosine kinase receptor inhibitors (metastatic non-small cell lung cancer), SignalChem",Research Code|Research Code,Cancer,Axl tyrosine kinase receptor inhibitor,3742,Immunostimulant|Anticancer protein kinase inhibitor|Anticancer|Dendritic cell stimulator|Macrophage stimulator,393|62255|1545|173472|7751,Metastatic non small cell lung cancer|Advanced solid tumor|Cancer,3665|3713|651,,,SignalChem Life Sciences,1063445,,,SignalChem Life Sciences,1063445,,,,,,
