Raw Drug,Mechanism Of Action,drug_cleaned,drug_sponsor,standard_drug,synonym_cortellus,flag,synonym_list,drug_cleaned_cortellus,flag_synoymn_list,synonym_list_cleaned,Mapping_flag
"cAd3-EBO-S vaccine, Sabin Vaccine Institute",Immunostimulant,cAd3-EBO-S vaccine,Sabin Vaccine Institute,,,0,['cAd3-EBO-S vaccine'],,0,[],0
Xisomab 3G3,Factor XI inhibitor,Xisomab 3G3,,AB-023,xisomab 3g3,fexact,"['AB-023', 'anti-human factor xi mabs (thrombosis/sepsis/myocardial infarction)', 'xisomab 3G3', 'anti-human factor xi mabs (thrombosis/sepsis/myocardial infarction),/vanderbilt university', 'AB-022', '14-E11', 'AXIMAB', 'anti-human Factor XI mAbs (Thrombosis/Sepsis/Myocardial infarction),/Vanderbilt University/Oregon Health Sciences University']",AB-023,fexact,"['ab 023', 'anti human factor xi mabs thrombosis sepsis myocardial infarction', 'xisomab 3g3', 'anti human factor xi mabs thrombosis sepsis myocardial infarction vanderbilt university', 'ab 022', '14 e11', 'aximab', 'anti human factor xi mabs thrombosis sepsis myocardial infarction vanderbilt university oregon health sciences university']",correct_mapping
befovacimab,Tissue factor pathway inhibitor inhibitor,befovacimab,,BAY-1093884,befovacimab,fexact,"['BAY-1093884', 'anti TFPI antibody (hemophilia)', 'anti tissue factor pathway inhibitor (hemophilia)', 'befovacimab']",BAY-1093884,fexact,"['bay 1093884', 'anti tfpi antibody hemophilia', 'anti tissue factor pathway inhibitor hemophilia', 'befovacimab']",correct_mapping
oxycodone,Opioid mu receptor agonist,oxycodone,,,,0,"['oxycodone', 'oxycodone formulated with abuse-deterrent naloxone (sustained release tablet, pain)', 'LY-021702']",,NER_API,[],0
ketorolac,Cyclooxygenase 1 inhibitor; Cyclooxygenase 2 inhibitor,ketorolac,,ketorolac,ketorolac,fexact,"['Lixidol', 'Droal', 'Toradol', 'Toradol Oral', 'ketorolac', 'Tonum', 'RS-37619', 'BPPC', 'BDPC', 'ketorolac tromethamine', 'Findol', 'Tora-Dol', 'Toratex']",ketorolac,fexact,"['lixidol', 'droal', 'toradol', 'toradol oral', 'ketorolac', 'tonum', 'rs 37619', 'bppc', 'bdpc', 'ketorolac tromethamine', 'findol', 'tora dol', 'toratex']",correct_mapping
CD123-targeted CAR-T cell therapy,Immuno-oncology therapy,CD123-targeted CAR-T cell therapy,,,,0,['CD123-targeted CAR-T cell therapy'],,0,[],0
posaconazole (oral tablet),Cell wall synthesis inhibitor; Sterol demethylase inhibitor,posaconazole,,posaconazole,posaconazole,fexact,"['antifungal, Schering-Plough', 'Noxafil', 'posaconazole', 'Spriafil', 'Sch-56592', 'MK-5592 (oral suspension), Merck & Co', 'MK-5592 (oral suspension)', 'Sch-56984', 'Sch-207962', '056592', 'SCH 056592', 'Sch-56588', 'antifungal', 'Posanol', 'triazole (oral), Schering-Plough', 'triazole (oral)', 'Posaconazole SP']",posaconazole,fexact,"['antifungal schering plough', 'noxafil', 'posaconazole', 'spriafil', 'sch 56592', 'mk 5592 oral suspension merck co', 'mk 5592 oral suspension', 'sch 56984', 'sch 207962', '056592', 'sch 056592', 'sch 56588', 'antifungal', 'posanol', 'triazole oral schering plough', 'triazole oral', 'posaconazole sp']",correct_mapping
CD22-CAR-T cells,CD22 antagonist; Immuno-oncology therapy,CD22-CAR-T cells,,,,0,['CD22-CAR-T cells'],,0,[],0
linperlisib,PI3 kinase delta inhibitor,linperlisib,,linperlisib,linperlisib,fexact,"['YY-20394', 'linperlisib', 'linpulisi']",linperlisib,fexact,"['yy 20394', 'linperlisib', 'linpulisi']",correct_mapping
STI-002,Tumour necrosis factor alpha antagonist,STI-002,,,,0,"['Baileiting', 'infliximab biosimilar, BioMab Pharmaceuticals', 'CMAB-008', 'infliximab biobetter, Mabtech/Sorrento', 'infliximab biosimilar,/Sorrento Therapeutics', 'STI-002', 'infliximab biobetter, Mabtech/', 'infliximab', 'infliximab biosimilar,/']",,NER_API,[],0
RP-4010,Calcium release-activated calcium channel antagonist,RP-4010,,RP-4010,rp 4010,fexact,"['calcium release-activated calcium channel inhibitor (non-Hodgkin lymphoma)', 'calcium release-activated calcium channel inhibitor (non-Hodgkin lymphoma), Rhizen', 'CRAC inhibitor (non-Hodgkin lymphoma), Rhizen', 'CRAC inhibitor (non-Hodgkin lymphoma)', 'RP-4010']",RP-4010,fexact,"['calcium release activated calcium channel inhibitor non hodgkin lymphoma', 'calcium release activated calcium channel inhibitor non hodgkin lymphoma rhizen', 'crac inhibitor non hodgkin lymphoma rhizen', 'crac inhibitor non hodgkin lymphoma', 'rp 4010']",correct_mapping
entospletinib,Syk tyrosine kinase inhibitor,entospletinib,,entospletinib,entospletinib,fexact,"['entospletinib bis-mesylate', 'entospletinib', 'GS-9973', 'Syk inhibitor (rheumatoid arthritis)']",entospletinib,fexact,"['entospletinib bis mesylate', 'entospletinib', 'gs 9973', 'syk inhibitor rheumatoid arthritis']",correct_mapping
polyclonal regulatory T cells,T cell inhibitor,polyclonal regulatory T cells,,,,0,['polyclonal regulatory T cells'],,0,[],0
CT-1530,Bruton tyrosine kinase inhibitor,CT-1530,,CT-1530,ct 1530,fexact,"['Target-3', 'CT-1530', 'leukemia therapy']",CT-1530,fexact,"['target 3', 'ct 1530', 'leukemia therapy']",correct_mapping
KITE-718,T cell stimulant; Immuno-oncology therapy,KITE-718,,KITE-718,kite 718,fexact,"['KITE-718', 'anti-MAGE A3/MAGE A6/HLA-DPB1*0401 TCR T-cell therapy (cancer)', 'MAGE A3/A6 targeting T-cell therapy (cancer)']",KITE-718,fexact,"['kite 718', 'anti mage a3 mage a6 hla dpb1 0401 tcr t cell therapy cancer', 'mage a3 a6 targeting t cell therapy cancer']",correct_mapping
MK-1026,Bruton tyrosine kinase inhibitor,MK-1026,,MK-1026,mk 1026,fexact,"['ARQ-531', 'MK-1026', ""Bruton's tyrosine kinase inhibitors (DLBCL)""]",MK-1026,fexact,"['arq 531', 'mk 1026', 'bruton s tyrosine kinase inhibitors dlbcl']",correct_mapping
icapamespib,Epichaperome inhibitor,icapamespib,,icapamespib,icapamespib,fexact,"['PU-AD', 'icapamespib', ""epichaperome inhibitor (oral, Alzheimer's disease)"", ""epichaperome inhibitor (oral, Alzheimer's disease), Samus Therapeutics"", 'PU-AD dihydrochloride']",icapamespib,fexact,"['pu ad', 'icapamespib', 'epichaperome inhibitor oral alzheimer s disease', 'epichaperome inhibitor oral alzheimer s disease samus therapeutics', 'pu ad dihydrochloride']",correct_mapping
valemetostat,Enhancer of zeste homolog 1 inhibitor; Enhancer of zeste homolog 2 inhibitor,valemetostat,,valemetostat,valemetostat,fexact,"['(R)-OR-S2', 'enhancer of zeste homolog 1/2 dual inhibitor (acute myeloid leukemia)', 'DS-3201b', 'valemetostat', 'OR-S1', 'valemetostat tosylate', 'DS-3201a', 'DS-3201']",valemetostat,fexact,"['r or s2', 'enhancer of zeste homolog 1 2 dual inhibitor acute myeloid leukemia', 'ds 3201b', 'valemetostat', 'or s1', 'valemetostat tosylate', 'ds 3201a', 'ds 3201']",correct_mapping
caspofungin acetate (IV),"Cell wall synthesis inhibitor; 1,3-Beta-glucan synthase inhibitor",caspofungin acetate,,caspofungin,caspofungin acetate,fexact,"['Cancidas', 'L-743872', 'MK-0991', 'caspofungin acetate', 'caspofungin', 'Cansidas', 'MK-991']",caspofungin,fexact,"['cancidas', 'l 743872', 'mk 0991', 'caspofungin acetate', 'caspofungin', 'cansidas', 'mk 991']",correct_mapping
avapritinib,C-kit inhibitor; Platelet-derived growth factor receptor alpha kinase inhib,avapritinib,,avapritinib,avapritinib,fexact,"['avapritinib (GIST/systemic mastocytosis),/CStone Pharmaceuticals', 'avapritinib (GIST/systemic mastocytosis)', 'AYVAKIT', 'avapritinib', 'KIT D816V inhibitor (systemic mastocytosis)', 'BLU-285', 'avapritinib (gist/systemic mastocytosis)']",avapritinib,fexact,"['avapritinib gist systemic mastocytosis cstone pharmaceuticals', 'avapritinib gist systemic mastocytosis', 'ayvakit', 'avapritinib', 'kit d816v inhibitor systemic mastocytosis', 'blu 285', 'avapritinib gist systemic mastocytosis']",correct_mapping
CART-133,Immuno-oncology therapy,CART-133,,CART-33,cart 33,fuzzy,"['anti-CD33 CAR T-cell therapy (leukemia)', 'CART-33']",CART-33,fexact,"['anti cd33 car t cell therapy leukemia', 'cart 33']",incorrect_mapping
propranolol,Beta adrenoreceptor antagonist,propranolol,,,,0,"['repurposed propranolol (cancer), harvard medical school//globalcures', 'repurposed propranolol (cancer), texas tech university', 'propranolol', 'repurposed propranolol (cancer), texas tech university/harvard medical school', 'repurposed propranolol (cancer)', 'repurposed propranolol (cancer), harvard medical school', 'repurposed propranolol (cancer), texas tech university/harvard medical school//globalcures']",,NER_API,[],0
maribavir,Cytomegalovirus UL97 protein kinase inhibitor; Protein kinase inhibitor,maribavir,,maribavir,maribavir,fexact,"['maribavir', 'GW-257406X', 'BW-1263W94', 'GW-1263', 'benzimidavir', 'SHP-620', 'Camvia', 'VP-41263', '1263W94', 'TAK-620']",maribavir,fexact,"['maribavir', 'gw 257406x', 'bw 1263w94', 'gw 1263', 'benzimidavir', 'shp 620', 'camvia', 'vp 41263', '1263w94', 'tak 620']",correct_mapping
Baycip,DNA topoisomerase II inhibitor; DNA topoisomerase IV inhibitor,Baycip,,ciprofloxacin hydrochloride,baycip,fexact,"['Ciprobay', 'Uniflox', 'Ciproxina', 'ciprofloxacin', 'Ciflox', 'BAY-Q-3939', 'Baycip', 'Cipro', 'Ciproxine', 'Ciloxan', 'Ciproxan', 'Ciproxin', 'ciprofloxacin hydrochloride']",ciprofloxacin hydrochloride,fexact,"['ciprobay', 'uniflox', 'ciproxina', 'ciprofloxacin', 'ciflox', 'bay q 3939', 'baycip', 'cipro', 'ciproxine', 'ciloxan', 'ciproxan', 'ciproxin', 'ciprofloxacin hydrochloride']",correct_mapping
moxifloxacin,DNA topoisomerase II inhibitor; DNA topoisomerase IV inhibitor,moxifloxacin,,moxifloxacin,moxifloxacin,fexact,"['Actira', 'Avilox', 'moxifloxacin hydrochloride', 'BAY-12-8039', 'Avelox', 'Octegra', 'Avalox', 'moxifloxacin', 'Izilox']",moxifloxacin,fexact,"['actira', 'avilox', 'moxifloxacin hydrochloride', 'bay 12 8039', 'avelox', 'octegra', 'avalox', 'moxifloxacin', 'izilox']",correct_mapping
piperacillin,Cell wall synthesis inhibitor,piperacillin,,,,0,"['piperacillin sodium + sulbactam sodium (intravenous, bacterial infection)', 'piperacillin', 'sulbactam', 'Yi Tan', 'piperacillin sodium + sulbactam sodium']",,NER_API,[],0
dextromethorphan,NMDA receptor antagonist,dextromethorphan,,,,0,"['dextromethorphan', 'FP-101']",,NER_API,[],0
"stem cell transplantation, unspecified",Not applicable,stem cell transplantation,unspecified,,,0,['stem cell transplantation'],,0,[],0
ofloxacin,DNA topoisomerase II inhibitor; DNA topoisomerase IV inhibitor,ofloxacin,,ofloxacin,ofloxacin,fexact,"['Ocuflox', 'Tarivid', 'ofloxacin', 'Floxin Otic', 'Oflocet', 'Floxin']",ofloxacin,fexact,"['ocuflox', 'tarivid', 'ofloxacin', 'floxin otic', 'oflocet', 'floxin']",correct_mapping
odronextamab,CD3 agonist; Immuno-oncology therapy,odronextamab,,odronextamab,odronextamab,fexact,"['REGN-1979', 'CD20XCD3', 'anti-CD20/anti-CD3 bispecific antibody (cancer)', 'odronextamab', 'anti-CD3/anti-CD20 bispecific T-cell engager (cancer)']",odronextamab,fexact,"['regn 1979', 'cd20xcd3', 'anti cd20 anti cd3 bispecific antibody cancer', 'odronextamab', 'anti cd3 anti cd20 bispecific t cell engager cancer']",correct_mapping
"methotrexate, Zydus",Immunosuppressant; Thymidylate synthase inhibitor; Dihydrofolate reductase inhibitor; Disease modifying antirheumatic drug,methotrexate,Zydus,,,0,"['methotrexate', 'repurposed methotrexate (blood cancer)']",,NER_API,[],0
"CAR-T CD20, Cellular Biomedicine Group",T cell stimulant; Immuno-oncology therapy,CAR-T CD20,Cellular Biomedicine Group,,,0,['CAR-T CD20'],,0,[],0
allogeneic CMV specific cytotoxic T lymphocytes,Immunostimulant,allogeneic CMV specific cytotoxic T lymphocytes,,,,0,['allogeneic CMV specific cytotoxic T lymphocytes'],,0,[],0
CMV pp65 specific cytotoxic T lymphocytes,Immunostimulant,CMV pp65 specific cytotoxic T lymphocytes,,,,0,['CMV pp65 specific cytotoxic T lymphocytes'],,0,[],0
"CMV IE-1 specific cytotoxic T lymphocytes, unspecified",Immunostimulant,CMV IE-1 specific cytotoxic T lymphocytes,unspecified,,,0,['CMV IE-1 specific cytotoxic T lymphocytes'],,0,[],0
tafasitamab,CD19 antagonist; Immuno-oncology therapy,tafasitamab,,tafasitamab,tafasitamab,fexact,"['XmAb-5574', 'MOR-208', 'tafasitamab', 'Monjuvi', 'tafasitamab-cxix', 'triple anti-CD19/CD32a activator/CD16a activator (cancer), Xencor', 'triple anti-CD19/CD32a activator/CD16a activator (cancer)', 'anti-CD19 humanized monoclonal antibody (cancer/autoimmune disease), Xencor', 'XmAb CD19', 'XmAb-CD19', 'ENFORCER antibody', 'triple anti-CD19/FcgRIIa activator/FcgRIIIa activator (cancer), Xencor', 'Minjuvi', 'anti-CD19 humanized monoclonal antibody (cancer/autoimmune disease)', 'MOR-00208', 'triple anti-CD19/FcgRIIa activator/FcgRIIIa activator (cancer)', 'XENP-5574']",tafasitamab,fexact,"['xmab 5574', 'mor 208', 'tafasitamab', 'monjuvi', 'tafasitamab cxix', 'triple anti cd19 cd32a activator cd16a activator cancer xencor', 'triple anti cd19 cd32a activator cd16a activator cancer', 'anti cd19 humanized monoclonal antibody cancer autoimmune disease xencor', 'xmab cd19', 'xmab cd19', 'enforcer antibody', 'triple anti cd19 fcgriia activator fcgriiia activator cancer xencor', 'minjuvi', 'anti cd19 humanized monoclonal antibody cancer autoimmune disease', 'mor 00208', 'triple anti cd19 fcgriia activator fcgriiia activator cancer', 'xenp 5574']",correct_mapping
spebrutinib besylate,Bruton tyrosine kinase inhibitor,spebrutinib besylate,,spebrutinib,spebrutinib besylate,fexact,"['AVL-291', 'Btk inhibitors (cancer)', 'spebrutinib', 'Btk inhibitors (cancer), Celgene', 'CC-90008', 'spebrutinib besylate', 'AVL-101', 'CC-292', 'AVL-292', 'CNX-652']",spebrutinib,fexact,"['avl 291', 'btk inhibitors cancer', 'spebrutinib', 'btk inhibitors cancer celgene', 'cc 90008', 'spebrutinib besylate', 'avl 101', 'cc 292', 'avl 292', 'cnx 652']",correct_mapping
cladribine (IV),Immunosuppressant; Adenosine deaminase inhibitor; DNA synthesis inhibitor,cladribine,,cladribine,cladribine,fexact,"['2-CdA', 'RWJ-26251', '2-chlorodeoxyadenosine', 'NSC-105014F', 'cladribine', 'Litak', 'Leustat', 'Leustatin']",cladribine,fexact,"['2 cda', 'rwj 26251', '2 chlorodeoxyadenosine', 'nsc 105014f', 'cladribine', 'litak', 'leustat', 'leustatin']",correct_mapping
extracorporeal photopheresis,Radical formation stimulant,extracorporeal photopheresis,,,,0,['extracorporeal photopheresis'],,0,[],0
"influenza vaccine, Q-H1N1, adjuvanted, GSK",Immunostimulant,influenza vaccine,GSK,,,0,['influenza vaccine'],,0,[],0
"clodronate disodium, Leiras",Osteoclast inhibitor; Bisphosphonate; Bone resorption inhibitor,clodronate disodium,Leiras,clodronic acid,clodronate disodium,fexact,"['Clastoban', 'clodronate sodium', 'clodronic acid', 'Bonefos', 'KCO-692', 'clodronate disodium', 'clodronate tetrahydrate', 'Clasteon', 'clodronate disodium, Leiras', 'BAY-94-8393']",clodronic acid,fexact,"['clastoban', 'clodronate sodium', 'clodronic acid', 'bonefos', 'kco 692', 'clodronate disodium', 'clodronate tetrahydrate', 'clasteon', 'clodronate disodium leiras', 'bay 94 8393']",correct_mapping
ATIR,Immunosuppressant,ATIR,,ATIR-101,atir,fexact,"['ATIR', 'alloreactive T cell-depletion therapy (GvHD), Kiadis/', 'TH-9401', 'Theralux extracorporeal photochemotherapy', 'Add-Back of T Cell for Immune Reconstitution', 'alloreactive T cell-depletion therapy (GvHD), Kiadis/ Hospira', 'PDT', 'Add-Back of  Cell for Immune Reconstitution', 'PDT, Theratechnologies', 'TH-9402', 'allodepleted T-cell immunotherapeutics (GvHD)', 'Theralux', 'antileukemics (photoactive)', 'ATIR-101', 'alloreactive T cell-depletion therapy (GvHD),/', 'allodepleted T-cell immunotherapeutics (GvHD), Kiadis Pharma', 'antileukemics (photoactive), Theratechnologies']",ATIR-101,fexact,"['atir', 'alloreactive t cell depletion therapy gvhd kiadis', 'th 9401', 'theralux extracorporeal photochemotherapy', 'add back of t cell for immune reconstitution', 'alloreactive t cell depletion therapy gvhd kiadis hospira', 'pdt', 'add back of cell for immune reconstitution', 'pdt theratechnologies', 'th 9402', 'allodepleted t cell immunotherapeutics gvhd', 'theralux', 'antileukemics photoactive', 'atir 101', 'alloreactive t cell depletion therapy gvhd', 'allodepleted t cell immunotherapeutics gvhd kiadis pharma', 'antileukemics photoactive theratechnologies']",correct_mapping
calaspargase pegol,Protein synthesis inhibitor; Asparaginase stimulant; Apoptosis stimulant,calaspargase pegol,,calaspargase pegol,calaspargase pegol,fexact,"['SHP-663', 'calaspargase pegol-mknl', 'SC-PEG  coli L-asparaginase', 'SC Oncaspar', 'SC-PEG asparaginase', 'Oncaspar-IV', 'SC-PEG E coli L-asparaginase', 'SC-PEG E coli L-asparaginase, Enzon', 'Asparlas', 'calaspargase pegol', 'calaspargase pegol - mknl', 'next generation pegylated asparaginase (solid tumor/lymphoma), Enzon Pharmaceuticals', 'next generation pegylated asparaginase (solid tumor/lymphoma)', 'calaspargase pegol  mknl', 'EZN-2285']",calaspargase pegol,fexact,"['shp 663', 'calaspargase pegol mknl', 'sc peg coli l asparaginase', 'sc oncaspar', 'sc peg asparaginase', 'oncaspar iv', 'sc peg e coli l asparaginase', 'sc peg e coli l asparaginase enzon', 'asparlas', 'calaspargase pegol', 'calaspargase pegol mknl', 'next generation pegylated asparaginase solid tumor lymphoma enzon pharmaceuticals', 'next generation pegylated asparaginase solid tumor lymphoma', 'calaspargase pegol mknl', 'ezn 2285']",correct_mapping
Erwinase (IM),Protein synthesis inhibitor; Asparaginase stimulant; Apoptosis stimulant,Erwinase,,crisantaspase (acute lymphoblastic leukemia),erwinase,fexact,"['crisantaspase (acute lymphoblastic leukemia), Jazz Pharmaceuticals', 'crisantaspase', 'Erwinase', 'crisantaspase (acute lymphoblastic leukemia),/HPA', 'Erwinia chrysanthemi L-asparaginase (acute lymphoblastic leukemia),/HPA', 'Erwinaze', 'crisantaspase (acute lymphoblastic leukemia), OPi/HPA', 'asparaginase (Erwinia chrysanthemi)', 'crisantaspase (acute lymphoblastic leukemia)', 'Erwinia chrysanthemi L-asparaginase (acute lymphoblastic leukemia), OPi/HPA', 'OP-01']",crisantaspase (acute lymphoblastic leukemia),fexact,"['crisantaspase acute lymphoblastic leukemia jazz pharmaceuticals', 'crisantaspase', 'erwinase', 'crisantaspase acute lymphoblastic leukemia hpa', 'erwinia chrysanthemi l asparaginase acute lymphoblastic leukemia hpa', 'erwinaze', 'crisantaspase acute lymphoblastic leukemia opi hpa', 'asparaginase erwinia chrysanthemi', 'crisantaspase acute lymphoblastic leukemia', 'erwinia chrysanthemi l asparaginase acute lymphoblastic leukemia opi hpa', 'op 01']",correct_mapping
veltuzumab (SC),CD20 antagonist; Immuno-oncology therapy,veltuzumab,,veltuzumab,veltuzumab,fexact,"['hA20 antibody', 'hCD20 antibody', 'anti-NHL antibody', 'veltuzumab', 'IMMU-106', 'cA20 antibody']",veltuzumab,fexact,"['ha20 antibody', 'hcd20 antibody', 'anti nhl antibody', 'veltuzumab', 'immu 106', 'ca20 antibody']",correct_mapping
rasburicase,Urate oxidase stimulant,rasburicase,,rasburicase,rasburicase,fexact,"['Elitek', 'Fasturtec', 'urate oxydase', 'SR-29142', 'urate oxidase', 'Rasuritek', 'rasburicase']",rasburicase,fexact,"['elitek', 'fasturtec', 'urate oxydase', 'sr 29142', 'urate oxidase', 'rasuritek', 'rasburicase']",correct_mapping
"epoetin beta, Roche",Erythropoietin receptor agonist,epoetin beta,Roche,epoetin beta,epoetin beta,fexact,"['Epogin', 'recombinant human erythropoietin, Chugai', 'erythropoietin, Genetics Institute//', 'Marogen', 'rHuEPO, Genetics Inst//', 'erythropoietin, Genetics Institute//Roche', 'epoetin beta, Roche', 'NeoRecormon', 'recombinant human erythropoietin', 'Recormon', 'epoetin beta, Genetics Inst//', 'EPOCH', 'erythropoietin, Genetics Institute/Chugai/Roche', 'RO-2053859', 'rHuEPO, Genetics Inst/Chugai/', 'epoetin beta, Genetics Inst/Chugai/', 'epoetin beta', 'Epogin Subcutaneous Injection Syringe 24000']",epoetin beta,fexact,"['epogin', 'recombinant human erythropoietin chugai', 'erythropoietin genetics institute', 'marogen', 'rhuepo genetics inst', 'erythropoietin genetics institute roche', 'epoetin beta roche', 'neorecormon', 'recombinant human erythropoietin', 'recormon', 'epoetin beta genetics inst', 'epoch', 'erythropoietin genetics institute chugai roche', 'ro 2053859', 'rhuepo genetics inst chugai', 'epoetin beta genetics inst chugai', 'epoetin beta', 'epogin subcutaneous injection syringe 24000']",correct_mapping
undisclosed - iron (IV),Iron absorption stimulant,undisclosed - iron,,,,0,['undisclosed - iron'],,0,[],0
MDR1 transduced autologous peripheral blood progenitor cells,Stem cell growth factor agonist,MDR1 transduced autologous peripheral blood progenitor cells,,,,0,['MDR1 transduced autologous peripheral blood progenitor cells'],,0,[],0
(R)-etodolac,Cyclooxygenase 2 inhibitor; Mcl-1 antagonist,etodolac,,,,0,"['Utradol', 'etodolac', 'Lodine XL', 'Lodine SR', 'Hypen', 'Ostelac', 'Lodine', 'ramodar', 'tedolan', 'AY-24236', 'etanal', 'Edolan', 'Osteluc', 'zedolac', 'RAK-591', 'etodolic acid']",,NER_API,[],0
BMS-387032,Cyclin-dependent kinase 9 inhibitor; Cyclin-dependent kinase 2 inhibitor; Cyclin-dependent kinase 7 inhibitor; Mcl-1 antagonist; Cell cycle inhibitor,BMS-387032,,SNS-032,bms 387032,fexact,"['BMS-387032', 'cyclin-dependent kinase inhibitor (cancer), Sunesis', 'SNS-032']",SNS-032,fexact,"['bms 387032', 'cyclin dependent kinase inhibitor cancer sunesis', 'sns 032']",correct_mapping
rIFN-alpha 1b,Interferon receptor agonist,rIFN-alpha 1b,,,,0,['rIFN-alpha 1b'],,0,[],0
masitinib,Colony stimulating factor 1 receptor antagonist; LYN tyrosine kinase inhibitor; C-kit inhibitor; FGF receptor 3 tyrosine kinase inhibitor; Fyn tyrosine kinase inhibitor; Platelet-derived growth factor receptor kinase inhibitor,masitinib,,masitinib,masitinib,fexact,"['Alsitek', 'Masican', 'Kinaction', 'Masipro', 'Masiviera', 'c-kit inhibitor (mastocytosis/GIST)', 'AB-1010', 'masitinib']",masitinib,fexact,"['alsitek', 'masican', 'kinaction', 'masipro', 'masiviera', 'c kit inhibitor mastocytosis gist', 'ab 1010', 'masitinib']",correct_mapping
"paricalcitol, oral, AbbVie",Vitamin D agonist,paricalcitol,AbbVie,paricalcitol,paricalcitol,fexact,"['paricalcitol (iv), Abbott', 'ABT-358', 'paricalcitol (iv)', 'Zemplar', 'paricalcitol']",paricalcitol,fexact,"['paricalcitol iv abbott', 'abt 358', 'paricalcitol iv', 'zemplar', 'paricalcitol']",correct_mapping
lestaurtinib,Flt-3 antagonist; Janus kinase 2 inhibitor; TrkA tyrosine kinase inhibitor; Apoptosis stimulant,lestaurtinib,,lestaurtinib,lestaurtinib,fexact,"['CEP-701', 'lestaurtinib', 'KT-5555', 'SPM-924', 'NSC-617807']",lestaurtinib,fexact,"['cep 701', 'lestaurtinib', 'kt 5555', 'spm 924', 'nsc 617807']",correct_mapping
defibrotide (oral),Unidentified pharmacological activity,defibrotide,,,,0,['defibrotide'],,0,[],0
defibrotide (IV),Unidentified pharmacological activity,defibrotide,,,,0,['defibrotide'],,0,[],0
"iron sucrose, Vifor Pharma",Iron absorption stimulant,iron sucrose,Vifor Pharma,,,0,"['iron sucrose injection (iron deficiency anemia), Vifor/Luitpold/Galenica/', 'iron sucrose injection (iron deficiency anemia),/Luitpold/Galenica/', 'Venofer', 'iron sucrose injection (iron deficiency anemia), Vifor//Galenica', 'iron sucrose injection (iron deficiency anemia),//Galenica', 'iron sucrose']",,NER_API,[],0
"curcuminoids, Sabinsa",Reducing agent; Free radical scavenger,curcuminoids,Sabinsa,,,0,['curcuminoids'],,0,[],0
talmapimod (capsule),Mitogen-activated protein kinase 14 inhibitor,talmapimod,,talmapimod,talmapimod,fexact,"['p38 MAP kinase inhibitors (inflammation)', 'SCIO-469', 'talmapimod']",talmapimod,fexact,"['p38 map kinase inhibitors inflammation', 'scio 469', 'talmapimod']",correct_mapping
Xcellerate,Immunostimulant; T cell stimulant,Xcellerate,,,,0,['Xcellerate'],,0,[],0
ß-alethine,Immunostimulant,ß-alethine,,,,0,['ß-alethine'],,0,[],0
"dendritic cell vaccine, Celgene",T cell stimulant,dendritic cell vaccine,Celgene,,,0,['dendritic cell vaccine'],,0,[],0
PUVA,Radical formation stimulant,PUVA,,,,0,['PUVA'],,0,[],0
anti-B7 antibodies,T cell inhibitor,anti-B7 antibodies,,,,0,['anti-B7 antibodies'],,0,[],0
forodesine (IV),Immunosuppressant; Purine nucleoside phosphorylase inhibitor,forodesine,,,,0,"['BCX-1777', 'forodesine hydrochloride (intravenous, cancer), BioCryst/ Mundipharma', 'forodesine hydrochloride (intravenous, cancer),/', 'forodesine (intravenous, cancer),/ Mundipharma', 'Immucillin-H', 'forodesine', 'forodesine hydrochloride', 'forodesine (intravenous, cancer),/', 'forodesine (intravenous, cancer), BioCryst/ Mundipharma', 'Fodosine', 'forodesine hydrochloride (intravenous, cancer),/ Mundipharma']",,NER_API,[],0
forodesine (tablet),Immunosuppressant; Purine nucleoside phosphorylase inhibitor,forodesine,,,,0,"['BCX-1777', 'forodesine hydrochloride (intravenous, cancer), BioCryst/ Mundipharma', 'forodesine hydrochloride (intravenous, cancer),/', 'forodesine (intravenous, cancer),/ Mundipharma', 'Immucillin-H', 'forodesine', 'forodesine hydrochloride', 'forodesine (intravenous, cancer),/', 'forodesine (intravenous, cancer), BioCryst/ Mundipharma', 'Fodosine', 'forodesine hydrochloride (intravenous, cancer),/ Mundipharma']",,NER_API,[],0
Wobe-Mucos NEM,Unidentified pharmacological activity,Wobe-Mucos NEM,,,,0,['Wobe-Mucos NEM'],,0,[],0
R-35 (IV),Interleukin 2 receptor antagonist; Immunosuppressant; T cell inhibitor,R-35,,,,0,['R-35'],,0,[],0
